"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
50,"up",0.171758459326339,"cycle",13.4,0.3,2,5,0.243137617651646
100,"up",0.0350440377107065,"steady",3,0.3,2,5,0.0496075935665371
100,"down",0.0350092575317629,"steady",0.2,0.3,2,5,0.0495583594858228
50,"down",0.09098351749299,"cycle",10.8,0.3,2,5,0.128794329988614
30,"down",0.141155896766604,"cycle",12.6,0.3,2,5,0.199817281733447
20,"down",0.377574130236419,"cycle",21,0.3,2,5,0.534485898817664
10,"down",0.365500646772871,"cycle",21.2,0.3,2,5,0.517394932715631
10,"up",0.408249422056176,"steady",11.2,0.3,2,10,0.577909188727676
20,"up",0.330840099759509,"steady",5.6,0.3,2,10,0.468330200414326
30,"up",0.318567216163928,"steady",1.4,0.3,2,10,0.450956967731352
50,"up",0.282613211500815,"steady",3.8,0.3,2,10,0.400061244323539
100,"up",0.277615067913469,"steady",1.2,0.3,2,10,0.392985978690192
100,"down",0.280094565011394,"steady",0.2,0.3,2,10,0.396495901984382
50,"down",0.283491368943885,"steady",1.4,0.3,2,10,0.401304345300739
30,"down",0.31357628127236,"steady",3.4,0.3,2,10,0.443891906574249
20,"down",0.325212587137739,"steady",1.4,0.3,2,10,0.460364013377434
10,"down",0.408434280422507,"steady",4.8,0.3,2,10,0.578170870294737
10,"up",0.68013557568018,"steady",1.6,0.3,2,15,0.962785438339404
20,"up",0.66474403981569,"steady",1,0.3,2,15,0.940997507912166
30,"up",0.654318807115323,"steady",0.8,0.3,2,15,0.926239770493159
50,"up",0.647392384275897,"steady",0.6,0.3,2,15,0.916434873810741
100,"up",0.640887000115429,"steady",0.6,0.3,2,15,0.90722599051679
100,"down",0.658500226794355,"steady",0.2,0.3,2,15,0.932158899152958
50,"down",0.65058866502719,"steady",0.6,0.3,2,15,0.920959460781672
30,"down",0.642929682290345,"steady",0.8,0.3,2,15,0.910117567907369
20,"down",0.637390870595301,"steady",0.8,0.3,2,15,0.902276944013582
10,"down",0.633300954751229,"steady",1,0.3,2,15,0.896487346234097
10,"up",0.341975221023297,"steady",37.8,0.3,3,5,0.413294097571867
20,"up",0.312829880022763,"cycle",21.2,0.3,3,5,0.378070500460955
30,"up",0.294190843579641,"cycle",19.2,0.3,3,5,0.355544296008719
50,"up",0.199314122907113,"cycle",10,0.3,3,5,0.240881050719788
100,"up",0.011312454130797,"cycle",7,0.3,3,5,0.0136716645940625
100,"down",0.043702845126669,"cycle",4,0.3,3,5,0.0528170663473868
50,"down",0.0193015050120985,"cycle",9.2,0.3,3,5,0.0233268307331855
30,"down",0.287596226341299,"cycle",19.2,0.3,3,5,0.347574372421282
20,"down",0.210708850669406,"cycle",21.4,0.3,3,5,0.254652147097771
10,"down",0.343205443095772,"steady",22.4,0.3,3,5,0.414780882256837
10,"up",0.827871256192195,"steady",7,0.3,3,10,1.00052367159763
20,"up",0.787119612613769,"steady",15.4,0.3,3,10,0.951273279399865
30,"up",0.611196672267624,"steady",10.2,0.3,3,10,0.738661638547687
50,"up",0.471041529598442,"steady",8.2,0.3,3,10,0.569277163742216
100,"up",0.379617528281249,"steady",6.8,0.3,3,10,0.458786701866838
100,"down",0.375206048010561,"steady",0.2,0.3,3,10,0.453455208105465
50,"down",0.38874672688266,"steady",1.8,0.3,3,10,0.469819793347076
30,"down",0.503268792378152,"steady",6.4,0.3,3,10,0.608225416916514
20,"down",0.549871358160154,"steady",2.2,0.3,3,10,0.664546940188791
10,"down",0.730630866246769,"steady",7.4,0.3,3,10,0.883003814194592
10,"up",0.840365466277734,"steady",1.4,0.3,3,15,1.01562354715799
20,"up",0.855407926389053,"steady",1.4,0.3,3,15,1.03380310987123
30,"up",0.862518815096434,"steady",0.8,0.3,3,15,1.04239697325834
50,"up",0.867110777230026,"steady",0.6,0.3,3,15,1.04794658834568
100,"up",0.8716906831826,"steady",0.6,0.3,3,15,1.05348163293742
100,"down",0.850941953351376,"steady",0.2,0.3,3,15,1.0284057588852
50,"down",0.856741922633524,"steady",0.6,0.3,3,15,1.03541531081483
30,"down",0.866166970182962,"steady",0.8,0.3,3,15,1.04680595049294
20,"down",0.876946698557628,"steady",0.8,0.3,3,15,1.05983378946135
10,"down",0.890719021408239,"steady",1,0.3,3,15,1.0764783279954
10,"up",0.660958559326749,"steady",8.2,0.3,5,5,1.40554167962276
20,"up",0.749289024258096,"steady",12.4,0.3,5,5,1.5933781911401
30,"up",0.126312270556657,"cycle",42.2,0.3,5,5,0.268605585645198
50,"up",0.17255107255874,"cycle",14,0.3,5,5,0.366933328758096
100,"up",0.133426599193826,"cycle",7.6,0.3,5,5,0.283734348683324
100,"down",0.125263942857533,"cycle",7.4,0.3,5,5,0.266376295693158
50,"down",0.143337910906124,"cycle",14,0.3,5,5,0.304810952526018
30,"down",0.0777612631759305,"cycle",10,0.3,5,5,0.165360891256502
20,"down",0.36855504741051,"steady",5.6,0.3,5,5,0.783739726282488
10,"down",0.828319404306836,"steady",9.8,0.3,5,5,1.76143788497034
10,"up",0.557669941612397,"steady",5,0.3,5,10,1.18589635514732
20,"up",0.676122300330068,"steady",5.6,0.3,5,10,1.43778768006926
30,"up",0.708513200742854,"steady",2.6,0.3,5,10,1.50666758173368
50,"up",0.74107691667725,"steady",5.6,0.3,5,10,1.57591497908308
100,"up",0.748872328126522,"steady",7.4,0.3,5,10,1.5924920784294
100,"down",0.783900252748784,"steady",2.6,0.3,5,10,1.66697966515106
50,"down",0.812350199341316,"steady",1.2,0.3,5,10,1.72747904919652
30,"down",0.876159448472962,"steady",2.2,0.3,5,10,1.86317070177353
20,"down",0.921226391461409,"steady",2.6,0.3,5,10,1.95900646310774
10,"down",0.951182578844058,"steady",4,0.3,5,10,2.02270889850973
10,"up",0.474289706267977,"steady",1.2,0.3,5,15,1.00858660648061
20,"up",0.488025648167425,"steady",1.4,0.3,5,15,1.0377963633952
30,"up",0.497309820971448,"steady",0.8,0.3,5,15,1.05753934372692
50,"up",0.503802821584128,"steady",0.6,0.3,5,15,1.07134684021541
100,"up",0.510150459808337,"steady",0.6,0.3,5,15,1.08484522065908
